County/Sub County,Visual,,,Hearing ,,,Mobility,,,Cognition,,,Self Care,,,Communication,,
,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female
MACHAKOS,"11,121","4,487","6,634","4,987","2,088","2,899","14,236","5,293","8,942","7,354","3,232","4,121","5,034","2,326","2,707","4,023","2,200","1,823"
ATHI RIVER,"1,401",630,771,419,220,199,"1,062",463,599,487,244,243,420,209,211,419,259,160
KALAMA,407,166,241,183,75,108,585,218,367,272,116,156,225,101,124,156,78,78
KANGUNDO,"1,185",463,722,564,234,330,"1,658",573,"1,085",924,414,510,663,328,335,448,258,190
KATHIANI,"1,394",491,903,625,218,407,"1,972",616,"1,356",962,346,616,574,237,337,406,192,214
MACHAKOS,"1,416",548,868,601,250,351,"1,770",645,"1,125",900,379,521,566,256,310,450,234,216
MASINGA,"1,182",496,686,616,269,347,"1,631",628,"1,003",823,369,454,536,257,279,489,266,223
MATUNGULU,"1,514",602,912,693,306,387,"1,875",688,"1,187",989,451,538,621,286,335,467,264,203
MWALA,"1,419",611,808,679,261,418,"2,087",824,"1,262","1,109",504,604,797,358,438,643,346,297
YATTA,"1,203",480,723,607,255,352,"1,596",638,958,888,409,479,632,294,338,545,303,242
MAKUENI,"13,399","5,250","8,149","6,370","2,595","3,775","16,632","5,927","10,705","9,245","3,700","5,544","5,378","2,422","2,955","4,185","2,298","1,886"
KATHONZWENI,"1,145",500,645,519,238,281,"1,411",535,876,778,325,453,479,227,252,373,215,158
KIBWEZI,"3,157","1,196","1,961","1,553",633,920,"3,200","1,136","2,064","2,183",834,"1,349","1,036",479,557,864,483,381
KILUNGU,560,222,338,272,100,172,969,327,642,522,190,332,325,141,184,236,126,110
MAKINDU,"1,306",515,791,580,217,363,"1,304",447,857,730,279,451,450,194,256,345,173,172
MAKUENI,"1,760",665,"1,095",751,303,448,"2,349",838,"1,511","1,221",477,744,752,321,431,562,301,261
MBOONI EAST,"1,545",601,944,693,296,397,"1,907",677,"1,230",985,423,561,626,276,349,479,273,205
MBOONI WEST,"1,204",450,754,599,228,371,"1,724",642,"1,082",767,331,436,526,241,285,409,233,176
MUKAA,"1,328",557,771,678,289,389,"1,934",697,"1,237",940,390,550,560,238,322,407,217,190
NZAUI,"1,394",544,850,725,291,434,"1,834",628,"1,206","1,119",451,668,624,305,319,510,277,233
NYANDARUA,"5,036","2,016","3,020","1,897",847,"1,050","7,623","2,654","4,969","4,298","1,825","2,472","2,489","1,181","1,307","1,784","1,032",752
KINANGOP,729,263,466,255,112,143,"1,085",393,692,601,263,338,332,167,165,290,175,115
NYANDARUA SOUTH,752,316,436,264,122,142,"1,037",371,666,545,251,294,313,153,160,257,143,114
MIRANGINE,492,201,291,189,89,100,747,271,476,417,176,241,261,117,144,182,99,83
KIPIPIRI,917,355,562,337,143,194,"1,386",463,923,720,302,417,454,213,240,277,158,119
NYANDARUA CENTRAL,525,222,303,194,88,106,744,250,494,467,201,266,286,148,138,185,115,70
NYANDARUA WEST,819,327,492,306,142,164,"1,241",437,804,729,298,431,392,186,206,267,151,116
NYANDARUA NORTH,802,332,470,352,151,201,"1,383",469,914,819,334,485,451,197,254,326,191,135
ABERDARE NATIONAL PARK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NYERI,"6,530","2,422","4,108","2,513","1,048","1,465","11,243","3,768","7,474","5,468","2,260","3,207","3,692","1,634","2,057","2,437","1,322","1,114"
TETU,583,226,357,276,104,172,"1,292",428,864,585,237,348,455,201,254,292,168,124
KIENI EAST,"1,120",416,704,386,177,209,"1,590",555,"1,035",791,322,469,458,199,259,317,177,140
KIENI WEST,"1,077",424,653,340,136,204,"1,516",483,"1,033",742,304,438,478,218,260,303,159,144
MATHIRA EAST,887,297,590,319,116,203,"1,295",429,866,662,265,397,440,197,243,297,147,150
MATHIRA WEST,653,251,402,263,107,156,"1,313",442,871,610,265,345,424,192,232,286,155,131
NYERI SOUTH,665,243,422,288,126,162,"1,310",454,856,651,287,364,427,189,238,285,155,130
MUKURWE-INI,729,286,443,323,144,179,"1,715",526,"1,188",816,317,498,532,222,309,320,173,146
NYERI CENTRAL,815,278,537,318,138,180,"1,212",451,761,611,263,348,478,216,262,337,188,149
MT. KENYA FOREST,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ABERDARE FOREST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIRINYAGA,"6,219","2,201","4,018","2,292",933,"1,359","9,275","3,019","6,254","4,967","2,009","2,958","3,016","1,360","1,655","2,019","1,058",960
KIRINYAGA CENTRAL,"1,067",366,701,420,168,252,"1,701",539,"1,162",813,354,459,600,260,340,364,188,176
KIRINYAGA EAST,"1,483",531,952,545,221,324,"2,411",795,"1,616","1,265",535,730,790,348,442,488,247,241
KIRINYAGA WEST,"1,347",480,867,512,208,304,"2,051",659,"1,391","1,123",403,720,656,279,376,410,227,182
MWEA EAST,"1,235",436,799,414,183,231,"1,609",533,"1,075",896,370,526,499,248,251,399,204,195
MWEA WEST,"1,087",388,699,401,153,248,"1,503",493,"1,010",870,347,523,471,225,246,358,192,166
MT. KENYA FOREST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MURANG'A,"10,411","3,892","6,518","4,402","1,858","2,544","18,630","6,206","12,424","8,336","3,558","4,778","5,822","2,652","3,170","3,664","1,994","1,669"
MURANG'A EAST,967,361,606,389,163,226,"1,641",564,"1,077",772,324,448,543,259,284,353,183,170
KANGEMA,940,339,601,356,154,202,"1,702",556,"1,146",772,320,452,544,268,276,330,179,151
MATHIOYA,"1,015",367,648,445,189,256,"1,736",539,"1,197",898,384,514,565,254,311,304,175,129
KAHURO,992,384,608,466,205,261,"2,104",715,"1,389",800,335,465,571,253,318,367,199,168
MURANG'A SOUTH,"1,854",683,"1,171",773,314,459,"2,901",986,"1,915","1,415",585,830,888,394,494,662,340,322
GATANGA,"1,497",590,906,646,287,359,"2,705",941,"1,764","1,233",563,670,844,395,449,549,302,247
KIGUMO,"1,335",507,828,566,237,329,"2,566",851,"1,715","1,080",477,603,818,381,437,477,282,195
KANDARA,"1,811",661,"1,150",761,309,452,"3,275","1,054","2,221","1,366",570,796,"1,049",448,601,622,334,287
ABERDARE FOREST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIAMBU,"16,320","6,370","9,947","4,964","2,263","2,700","19,574","6,917","12,654","9,363","4,118","5,243","6,842","3,032","3,808","5,186","2,821","2,364"
